Name,Akash Tiwari,,,,,,,,,,,,,,,,
Build Name,Automation Testcases,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
S.No,RQ_ID ,Module,Features,TC_ID ,Major/Normal,TC_Type,Test Data,TC_Objective,TC_Steps ,Expected Result ,Actual Result ,Version No. ,"Updated Actual Result of Version 20.24.01.01
",Final status,Manul Testing Status,Automation Status,Remark / Message 
1,RQ_ID_1 ,Cloudx cache agent,Exe run,TC_1,Major,Functionality,,To verify the run exe,"1. Go to the install path
2. run Cloudx cache agent exe",application run,same as ER,,,,,Pass,
2,,Cloudx cache agent,Config read,TC_2,Major,Functionality,,To verify the config read after the run ,"1. Configer the application
2. run application 
3. application is runing properly",Application is runing properly and read config also,same as ER,,,,,Pass,
3,, Bus file,Download Bus file,TC_3,Major,Functionality,,To verify the download busfile in self working directory,"1. Configure the busfile path
2. run the application 
3. Bus file is download in working directory
4. as per define busfile name in source directory",Bus file downloaded sucessfully,same as ER,,,,,Pass, Download & read bus file of Engine
4,,Bus file,Bus file dump in db,TC_4,Major,Functionality,,To verify the bus file dump db in runningallchn table ,"1. Configure the busfile path
2. run the application 
3. Bus file is downloading in working directory
4. as per config defined time and interwell of 10 min bus file is dump in db
5. after the dump of bus file in db then move and replace the file in BusFile folder
",Bus file dump in db sucessfully,same as ER,,,,,Pass,If you define 01:30 (Min:Sec)  then bus file dump in db every 10 min loop for example 01:30 then 11:30 then 21:30 then 31:30 etc.
5,,Bus file,Bus file download files/content,TC_5,Major,Functionality,,To verify the bus file read then download primary content source to destination,"1. Configure the busfile path
2. run the application 
3. Bus file is downloading in working directory
4. read bus file then go to the source folder or path
5. download in destination  path all exit files and other not exits ID status showing not exits",Primary content download in destination folder,same as ER,,,,,Pass,Download content as per bus file for primary
Other Files delete,,,,,,,,,,,,,,,,,
6,,Delete Extera file ,Delete Extera file ,TC_1,Major,Functionality,,To verify the delete extra content in destination folder,"1. Configure the build path
2. run the application
3. checking the space utilization of used in set of config
4. if exceeds the utilization then extra file auto delete in destination folder",Delete extra files in destination folder,same as ER,,,,,Pass,Housekeeping of extra content on the basiss of disk utalization trushold value
Playlist download in local directory,,,,,,,,,,,,,,,,,
7,,Playlist  ,Playlist download ,TC_1,Major,Functionality,,To verify the playlist download in local directory,"1. Configure the build path
2. run the application
3. playlist is download in local directory ",Playlist is downloaded in local directory,same as ER,,,,,Pass,source (configured S3 path) and download playlist on destination path ( Engine location)
8,,Playlist  ,Playlist download ,TC_2,Major,Functionality,,To verify the playlist download in local directory in case of the playlist name space ,"1. Configure the build path
2. run the application
3. if the playlist name in space then playlist is not download in local directory",Playlist is not download in local directory ,same as ER,,,,,Pass,
